chemical,type,Chinook,Chum,Coho,Pink,Sockeye,Total,units,summary
N,Nutrients,495 ± 49,2173 ± 165,479 ± 63,3609 ± 403,2524 ± 305,9280 ± 549,MT/y,Average Annual
DHA,Nutrients,124 ± 73,621 ± 490,124 ± 91,735 ± 327,842 ± 357,2447 ± 807,MT/y,Average Annual
EPA,Nutrients,123 ± 69,512 ± 412,112 ± 80,430 ± 203,524 ± 212,1700 ± 576,MT/y,Average Annual
P,Nutrients,51 ± 8,263 ± 29,48 ± 7,423 ± 46,272 ± 26,1057 ± 95,MT/y,Average Annual
Hg,Contaminants,0.76 ± 0.21,2 ± 0.62,0.47 ± 0.13,1.38 ± 0.52,2 ± 0.64,7 ± 2,Kg/y,Average Annual
PCBs,Contaminants,0.31 ± 0.15,0.31 ± 0.2,0.21 ± 0.11,0.46 ± 0.37,0.44 ± 0.22,1.72 ± 0.8,Kg/y,Average Annual
DDTs,Contaminants,0.24 ± 0.07,0.21 ± 0.08,0.16 ± 0.05,0.34 ± 0.13,0.78 ± 0.23,1.72 ± 0.45,Kg/y,Average Annual
PBDEs,Contaminants,0.07 ± 0.06,0.04 ± 0.04,0.01 ± 0.01,0.1 ± 0.12,0.05 ± 0.04,0.27 ± 0.19,Kg/y,Average Annual
DHA,Nutrients,4289 ± 2934,19295 ± 19616,4014 ± 3638,27107 ± 13060,31385 ± 14284,92399 ± 32279,MT,Cumulative
EPA,Nutrients,4230 ± 2757,15969 ± 16499,3624 ± 3195,15547 ± 8110,19090 ± 8477,63023 ± 23048,MT,Cumulative
P,Nutrients,2035 ± 318,10445 ± 1152,1912 ± 293,16776 ± 1852,10823 ± 1026,42077 ± 3814,MT,Cumulative
N,Nutrients,19694 ± 1979,86636 ± 6611,18980 ± 2501,143385 ± 16130,99913 ± 12194,369832 ± 21967,MT,Cumulative
PBDEs,Contaminants,2 ± 2.49,1 ± 1.44,0.26 ± 0.41,3 ± 5,1.67 ± 1.71,9 ± 8,Kg,Cumulative
DDTs,Contaminants,9 ± 3,8 ± 3,6 ± 2,13 ± 5,30 ± 9,68 ± 18,Kg,Cumulative
PCBs,Contaminants,11 ± 6,10 ± 8,8 ± 4,14 ± 15,15 ± 9,63 ± 32,Kg,Cumulative
Hg,Contaminants,31 ± 8,85 ± 25,19 ± 5,52 ± 21,92 ± 26,282 ± 73,Kg,Cumulative
